编号,名称,链接,类型,作者,国家,简介,评分
90,解忧杂货店,https://book.douban.com/subject/25862578/,小说,东野圭吾,日,"现代人内心流失的东西，这家杂货店能帮你找回——
僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。
因男友身患绝... ",8.5
91,哈利·波特与魔法石,https://book.douban.com/subject/1041007/,小说,J. K. 罗琳,英,一岁的哈利・波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力――一... ,9.1
92,失控的照护,https://book.douban.com/subject/36962267/,小说,叶真中显,日,"日本现象级社会派推理小说！
《绝叫》作者、社会派推理大师 叶真中显 成名作！
剖开日本社会的光鲜表象！
揭露冲击三观的人性真相！
·
【编辑推荐】
★《绝叫... ",8
93,挪威的森林,https://book.douban.com/subject/27200257/,小说,村上春树,日,《挪威的森林》是日本作家村上春树所著的一部长篇爱情小说，影响了几代读者的青春名作。故事讲述主角渡边纠缠在情绪不稳定且患有精神疾病的直子和开朗活泼的小林绿子之... ,8.5
94,西游记（全二册）,https://book.douban.com/subject/1029553/,小说,吴承恩 ,中,《西游记》主要描写的是孙悟空保唐僧西天取经，历经九九八十一难的故事。唐僧取经是历史上一件真实的事。大约距今一千三百多年前，即唐太宗贞观元年（627），年仅2... ,9.1
95,装脏,https://book.douban.com/subject/37100356/,小说,林树京 ,中,《装脏》以青年林北树一步步离开故乡、闯入繁华都市的命运之路为主线，串联并讲述了六个不同身份、不同经历的青年从故乡出发，在大城市中穿行、寻觅、兜转和起伏的人生... ,8.8
96,金色梦乡,https://book.douban.com/subject/26864984/,小说,伊坂幸太郎,日,《金色梦乡》是日本知名作家伊坂幸太郎的代表作，获第5届日本书店大奖、第21届山本周五郎奖，日文版销量突破114万册，堺雅人、竹内结子主演同名电影。对于《金色... ,8.8
97,燕食记,https://book.douban.com/subject/36021908/,小说,葛亮 ,中,#NAME?,8.6
98,事件,https://book.douban.com/subject/36692820/,小说,安妮·埃尔诺,法,"🌞威尼斯电影节最高奖“金狮奖”影片《正发生》原著
🌞2022年诺贝尔文学奖，《爱尔兰时报》年度最佳图书
🌞记录一个永远无法回到前世的“事件”。
🌞“我要写下... ",9.3
99,在熙，燒酒，我，還有冰箱裡的藍莓與菸,https://book.douban.com/subject/37082629/,小说,朴相映 ,中,"一描繪千禧世代的孤寂與情感，懺情經典之作—
甜蜜而迷惘的戀情，苦澀卻動人的青春讓人掩卷後熱淚盈眶，想要再談一次戀愛！
*入圍國際布克獎、都柏林文學獎*
四部... ",
